Kennziffer;Raumeinheit;Aggregat;Medianeinkommen;Einwohnerdichte;Ländlichkeit;Pkw-Dichte;Pendler mit Arbeitsweg 50 km und mehr;Auspendler
"13075";"Vorpommern-Greifswald";"Landkreis";"2.244";"60";"58";"517";"14,4";"59,7"
"13076";"Ludwigslust-Parchim";"Landkreis";"2.295";"45";"84";"587";"22,4";"75,2"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"2.633";"1.117";"0";"502";"11,0";"30,4"
"14521";"Erzgebirgskreis";"Landkreis";"2.191";"186";"36";"591";"7,6";"71,6"
"14522";"Mittelsachsen";"Landkreis";"2.243";"146";"43";"581";"10,8";"70,3"
"14523";"Vogtlandkreis";"Landkreis";"2.241";"163";"31";"590";"10,9";"64,7"
"14524";"Zwickau";"Landkreis";"2.484";"337";"11";"573";"8,5";"65,2"
"14612";"Dresden, Stadt";"krsfr. Stadt";"2.987";"1.678";"0";"404";"10,7";"25,1"
"14625";"Bautzen";"Landkreis";"2.283";"126";"35";"588";"11,6";"72,3"
"14626";"Görlitz";"Landkreis";"2.183";"122";"30";"554";"14,4";"64,4"
"14627";"Meißen";"Landkreis";"2.418";"167";"40";"555";"10,1";"71,2"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"2.298";"148";"45";"569";"7,4";"72,6"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"2.807";"1.954";"0";"378";"12,8";"27,2"
"14729";"Leipzig";"Landkreis";"2.275";"156";"47";"579";"11,6";"77,9"
"14730";"Nordsachsen";"Landkreis";"2.371";"98";"40";"569";"14,8";"71,1"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"2.664";"335";"0";"511";"16,7";"33,8"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"2.806";"1.771";"0";"388";"11,7";"35,2"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"2.760";"1.186";"0";"457";"14,4";"30,6"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"2.266";"37";"100";"595";"23,3";"59,6"
"15082";"Anhalt-Bitterfeld";"Landkreis";"2.321";"111";"51";"571";"12,2";"63,2"
"15083";"Börde";"Landkreis";"2.513";"73";"88";"603";"13,7";"74,2"
"15084";"Burgenlandkreis";"Landkreis";"2.383";"129";"44";"554";"15,0";"68,4"
"15085";"Harz";"Landkreis";"2.450";"103";"50";"561";"15,1";"60,3"
"15086";"Jerichower Land";"Landkreis";"2.352";"57";"91";"593";"16,8";"68,1"
"15087";"Mansfeld-Südharz";"Landkreis";"2.324";"95";"62";"578";"16,0";"68,5"
"15088";"Saalekreis";"Landkreis";"2.528";"129";"63";"603";"12,1";"78,7"
"15089";"Salzlandkreis";"Landkreis";"2.449";"135";"35";"544";"13,9";"61,7"
"15090";"Stendal";"Landkreis";"2.358";"47";"100";"555";"21,0";"62,0"
"15091";"Wittenberg";"Landkreis";"2.293";"66";"64";"587";"15,6";"55,6"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"2.679";"789";"0";"446";"12,4";"27,5"
"16052";"Gera, Stadt";"krsfr. Stadt";"2.390";"623";"0";"478";"14,9";"39,8"
"16053";"Jena, Stadt";"krsfr. Stadt";"3.066";"968";"0";"399";"13,2";"27,6"
"16054";"Suhl, Stadt";"krsfr. Stadt";"2.540";"341";"0";"551";"17,1";"45,6"
"16055";"Weimar, Stadt";"krsfr. Stadt";"2.902";"763";"0";"440";"12,1";"49,2"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"2.721";"410";"0";"505";"13,3";"40,0"
"16061";"Eichsfeld";"Landkreis";"2.360";"107";"65";"590";"11,2";"72,4"
"16062";"Nordhausen";"Landkreis";"2.467";"119";"50";"553";"13,3";"59,6"
"16063";"Wartburgkreis";"Landkreis";"2.514";"95";"61";"609";"11,2";"78,9"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"2.242";"106";"68";"539";"13,1";"64,9"
"16065";"Kyffhäuserkreis";"Landkreis";"2.427";"73";"93";"584";"17,0";"68,5"
"16066";"Schmalkalden-Meiningen";"Landkreis";"2.352";"102";"51";"602";"12,6";"70,4"
"16067";"Gotha";"Landkreis";"2.468";"145";"44";"552";"9,6";"70,7"
"16068";"Sömmerda";"Landkreis";"2.388";"87";"73";"570";"10,7";"75,6"
"16069";"Hildburghausen";"Landkreis";"2.311";"68";"82";"612";"9,9";"75,2"
"16070";"Ilm-Kreis";"Landkreis";"2.509";"129";"47";"542";"10,8";"69,4"
"16071";"Weimarer Land";"Landkreis";"2.372";"102";"73";"580";"10,7";"74,7"
"16072";"Sonneberg";"Landkreis";"2.362";"130";"52";"590";"7,8";"66,3"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"2.466";"104";"47";"570";"10,8";"68,3"
"16074";"Saale-Holzland-Kreis";"Landkreis";"2.288";"102";"55";"586";"11,3";"79,8"
"16075";"Saale-Orla-Kreis";"Landkreis";"2.253";"71";"85";"616";"11,0";"70,0"
"16076";"Greiz";"Landkreis";"2.233";"117";"60";"605";"12,4";"72,0"
"16077";"Altenburger Land";"Landkreis";"2.218";"159";"37";"565";"15,2";"71,7"
