Kennziffer;Raumeinheit;Aggregat;Medianeinkommen;Einwohnerdichte;Ländlichkeit;Pkw-Dichte;Pendler mit Arbeitsweg 50 km und mehr;Auspendler
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"3.487";"1.103";"0";"536";"9,0";"69,3"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"3.407";"714";"0";"499";"18,8";"37,9"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"3.051";"558";"0";"565";"15,7";"59,5"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"4.534";"2.176";"0";"476";"10,2";"50,5"
"07315";"Mainz, Stadt";"krsfr. Stadt";"3.554";"2.201";"0";"452";"10,2";"49,4"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"2.933";"456";"0";"595";"11,5";"61,8"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"3.031";"662";"0";"548";"11,9";"38,4"
"07318";"Speyer, Stadt";"krsfr. Stadt";"3.346";"1.192";"0";"562";"7,7";"53,9"
"07319";"Worms, Stadt";"krsfr. Stadt";"3.102";"764";"0";"531";"13,3";"49,9"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"3.348";"485";"0";"601";"9,4";"55,5"
"07331";"Alzey-Worms";"Landkreis";"2.848";"219";"19";"631";"13,0";"86,1"
"07332";"Bad Dürkheim";"Landkreis";"2.947";"223";"9";"655";"10,0";"83,0"
"07333";"Donnersbergkreis";"Landkreis";"3.393";"116";"82";"637";"14,9";"80,1"
"07334";"Germersheim";"Landkreis";"3.836";"277";"14";"617";"9,0";"82,7"
"07335";"Kaiserslautern";"Landkreis";"2.892";"165";"29";"623";"14,5";"87,0"
"07336";"Kusel";"Landkreis";"2.895";"123";"59";"651";"10,3";"86,2"
"07337";"Südliche Weinstraße";"Landkreis";"2.986";"173";"37";"665";"11,4";"85,0"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"2.851";"504";"0";"637";"8,6";"88,6"
"07339";"Mainz-Bingen";"Landkreis";"3.333";"347";"7";"640";"13,6";"85,0"
"07340";"Südwestpfalz";"Landkreis";"2.642";"100";"100";"681";"12,2";"87,2"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"4.351";"3.052";"0";"471";"9,3";"36,4"
"08115";"Böblingen";"Landkreis";"4.596";"631";"0";"627";"7,5";"78,0"
"08116";"Esslingen";"Landkreis";"3.740";"830";"0";"601";"6,3";"77,1"
"08117";"Göppingen";"Landkreis";"3.428";"399";"5";"617";"10,2";"77,4"
"08118";"Ludwigsburg";"Landkreis";"3.676";"790";"0";"590";"6,3";"79,9"
"08119";"Rems-Murr-Kreis";"Landkreis";"3.425";"495";"4";"599";"5,7";"78,0"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"3.372";"1.253";"0";"516";"10,8";"49,6"
